name,description
Percent skeletal muscle mass,Percent skeletal muscle mass是以百分比 (%) 為單位，是用來衡量人體骨骼肌肉在整體體重中所佔比例的指標。它被廣泛應用於體組成分析和肌肉量評估中，特別是在老年人或患有肌肉虛弱等狀況的人群中。其定義是全身骨骼肌肉的質量除以全身體重。
Skeletal muscle index,Skeletal muscle index是以 kg/m^2 為單位， 是一個用來衡量人體骨骼肌肉量的指標。它被廣泛應用於體組成分析和肌肉量評估中，特別是在老年人或患有肌肉虛弱等狀況的人群中，其定義是全身骨骼肌肉的質量除以身高的平方。
Appendicular skeletal muscle index,Appendicular skeletal muscle index是以 kg/m^2 為單位， 是一個用來衡量人體附肢骨骼肌肉量的指標。它被廣泛應用於體組成分析和肌肉量評估中，特別是在老年人或患有肌肉虛弱等狀況的人群中，其定義是上肢和下肢骨骼肌肉的質量除以身高的平方。
Low muscle quality,Low muscle quality的定義是appendicular skeletal muscle index，其定義是男生ASMI小於7 kg/m^2，女生ASMI小於5.5 kg/m^2，是一個用來診斷肌少症的主要指標。然而，肌少症的診斷還包含了功能喪失，因此當患者有高風險的low muscle quality時，應考慮對患者實施握力或行走速度檢測以確認患者是否存在肌少症。
Edema index,Edema index是以百分比 (%) 為單位，是用來衡量人體細胞外液在整體水份中所佔比例的指標。它被廣泛應用於體組成分析和水分平衡評估中，特別是在健康管理或疾病監測中。
Low edema index,Edema index是以百分比 (%) 為單位，是用來衡量人體細胞外液在整體水份中所佔比例的指標。Low edema index定義為edema index 36%以下。
High edema index,Edema index是以百分比 (%) 為單位，是用來衡量人體細胞外液在整體水份中所佔比例的指標。High edema index定義為edema index 40%以上。
Progress to CKD 3b,這個項目是針對eGFR 65以上的病患提供未來多快進展到CKD 3b的機會，較高的風險代表有較高的機會在5年內進展到eGFR 45以下，您可能需要與您的醫師討論是否要開始進行風險控制，這包含生活管理或藥物。
Diastolic dysfunction (grade 1-3),舒張功能障礙是指左心室舒張受損，可能同時會合併充盈壓增加，舒張功能障礙很常見，在一項針對45歲以上社區人群的研究中，20.8% 的人患有輕度舒張功能障礙，6.6% 的人患有中度舒張功能障礙，0.7% 的人患有重度舒張功能障礙，診斷HFpEF的超音波條件之一。
Diastolic dysfunction (grade 2-3),E/A > 1，Em/ Am <1，第二級舒張功能不良，比第一級嚴重
Diastolic dysfunction (grade 3),E/A>2.0，第三級舒張功能不良，最嚴重，可能心肌病變或心包膜疾病，研究顯示3 級舒張功能障礙與MACE 風險較高相關
Tricuspid annular plane systolic excursion,三尖瓣環收縮期位移（Tricuspid Annular Plane Systolic Excursion）是一項評估右心室功能的超聲心動圖指標。TAPSE是通過測量收縮期間三尖瓣環平面的垂直移動距離來評估右心室的功能。通常TAPSE<17mm代表右心室的功能差。
D-shaped left ventricle,左心室受鼓漲的右心室壓迫呈現D形，暗示右心室壓力過載，因為當右心壓力升高的時候，室間隔發生位移，理論上要負責全身血流供應的左心室尺寸減小，導致心輸出量下降，而這其中通常須優先排除急性肺栓塞，其他如心衰竭或者瓣膜性心臟病可能也會有類似表現。
Hypokinesia,左心室局部室壁運動的急性惡化（例如新發生或惡化的運動功能減退）通常是由心肌缺血引起的。然而，非急性運動功能減退可能是由於先前的心肌梗塞、左束支傳導阻滯、非缺血性心肌病變或心肌休眠引起的。
Akinesia,左心室局部心肌無收縮，大部分為缺血性心臟病造成嚴重的心肌損傷，須及時處理
Left ventricle is dilated,左心室擴張，懷疑心肌病變(先天的擴張性心肌病變、缺血性心臟病)
Septal hypertrophy,左心中膈增厚，篩檢肥厚型心肌病變(也可能是高血壓心臟病)
Hypertrophic obstructive cardiomyopathy,肥厚型心肌病變(53?)
Mitral stenosis,二尖瓣狹窄是一種常見的心臟瓣膜疾病，其主要特徵是流經二尖瓣的血流受阻。最常見的原因是風濕性心臟病。如果有輕度二尖瓣狹窄或沒有症狀，通常不需要任何治療，如果二尖瓣面積(MVA)≤1.5cm2為重度
Pulmonary stenosis,肺動脈瓣狹窄，絕大部分是先天性心臟病，嚴重者須手術處理，年輕人重要
Atrial septal defect,心房中膈缺損（ASD）是成人最常見的先天性心臟病，通常直到成年後才出現症狀，依位置不同可分為數種中膈缺損，如果屬於肺血流量／全身血流量(Qp/Qs)>=1.5需要關閉
Ventricular septal defect,心室中膈缺損 (VSD) 是新生兒最常見的先天性心臟異常之一，但由於大多數肌肉性 VSD 在兒童期自發性閉合，因此在成人中較少見，其中以膜性缺損及肌肉型缺損最為常見，如果屬於肌肉型或肺血流量／全身血流量(Qp/Qs)>=1.5需要關閉
Oscillating filament or vegetation,通常贅生物、膿腫等等最主要跟心內膜炎有關，因為其診斷最主要要符合三項心臟超音波表現：(1)在瓣膜或壁內膜上有無贅生物，或在人工瓣膜上有飄浮物；(2)有膿瘍；或(3)新發生的瓣膜逆流。
Fresh rib fracture,肋骨骨折是指肋骨骨頭出現斷裂或裂縫。肋骨是保護肺部、心臟和其他胸腔內重要器官的骨骼。這種骨折通常是由於胸部受到直接撞擊、跌倒、交通事故或劇烈咳嗽引起的。肋骨骨折可能看似輕微，但在某些情況下會變得非常危險，特別是如果沒有及時治療有可能出現相關併發症，如氣血胸、肺炎、內臟損傷，甚至進展為呼吸衰竭。
